TimeStamp,tradeDate,settlementDate,TraderID,TradeID,Action,Product,NotionalAmount,Counterparty,PriceOrRate,Status,Latency(ms),is_anomaly,predicted_anomaly
2024-03-02 09:00:00,2024-03-03 03:00:00,2024-03-16 03:00:00,TRADER_34,T_36,SELL,Swap,65436.99863077316,Bank C,0.7015908150293837,Cancelled,76.40143353283344,0,1
2023-08-22 00:00:00,2023-08-22 03:00:00,2023-09-13 03:00:00,TRADER_37,T_208,SELL,FXSpot,967716.805885199,Bank D,0.0001,Pending,44.00049993189144,1,1
2024-06-30 12:00:00,2024-07-01 01:00:00,2024-07-10 01:00:00,TRADER_12,T_475,SELL,Bond,611443.0233879625,Bank C,1.2601977456850388,Confirmed,-100.0,1,1
2024-09-23 14:00:00,2024-09-23 21:00:00,2024-10-12 21:00:00,TRADER_55,T_548,SELL,Futures,1000000000.0,Bank C,1.4201192748163678,Cancelled,129.663465738869,1,1
2024-02-22 07:00:00,2024-02-22 21:00:00,2024-02-29 21:00:00,TRADER_72,T_565,SELL,FXSpot,1092470.7634686516,Bank D,1000.0,Cancelled,80.11191975853191,1,1
2023-09-17 17:00:00,2023-09-18 11:00:00,2023-10-01 11:00:00,TRADER_153,T_736,BUY,FXSpot,1684208.9374117588,Bank A,1.7407726910100747,Cancelled,160.4969868970514,0,1
2023-12-21 16:00:00,2023-12-22 00:00:00,2024-01-06 00:00:00,TRADER_83,T_752,SELL,Bond,1100831.1977973273,Bank E,5000.0,Confirmed,124.70318182092444,1,1
2024-09-23 05:00:00,2024-09-23 17:00:00,2024-09-29 17:00:00,TRADER_63,T_950,BUY,Futures,966695.7015786445,Bank C,1.252623824619606,Confirmed,-100.0,1,1
2023-11-09 03:00:00,2023-11-09 03:00:00,2023-11-28 03:00:00,TRADER_168,T_1248,BUY,Swap,78807.68083415623,Bank E,0.9954242340969766,Cancelled,60.54561826264447,0,1
2023-11-06 08:00:00,2023-11-07 03:00:00,2023-11-30 03:00:00,TRADER_152,T_1288,BUY,Options,1065424.4298491282,Bank C,0.8860086862842627,Confirmed,-100.0,1,1
